Age,Income_Usd,Temperature_C,Humidity_Pct,Latitude,Longitude,Height_Cm,Weight_Kg,Heart_Rate_Bpm,Systolic_Bp,Diastolic_Bp,Steps_Per_Day,Exam_Score,Price_Usd,Duration_Min,Gender,City,Device_Type,Membership_Level,Payment_Method,CGPA
51,772153,28,9,-42.0,121,145.0,149,127.0,84,130,33452.0,31,621.0,184.0,Male,S2,S2,L2,M2,6.2
78,1143966,34,33,-77.0,81,148.0,162,153.0,89,46,39504.0,2,424.0,405.0,Female,S1,S1,L2,M2,3.2
51,1965620,45,10,-31.0,-132,-109.0,41,71.0,171,73,6421.0,52,4899.0,99.0,Female,S2,S1,L1,M2,8.7
32,1165716,16,42,-1.0,-45,140.0,179,163.0,93,99,3505.0,50,2083.0,357.0,Male,S2,S2,L1,M1,1.9
44,64254,41,31,71.0,-62,-63.0,32,188.0, ,90,, ,1906.0,480.0,Female,S1,S2,L1,M2,4.3
94,1673181,-30,60,84.0,-138,-39.0,37,124.0,83,75,1664.0,45,3783.0,420.0,Male,S2,S2,L1,M1,2.9
13,923165,34,NAN,-12.0,40,-89.0,NAN,177.0, ,74,,54,1974.0,,Female,S1,S2,L1,M2,3.0
61,420410,-38,74,-19.0,-110,57.0,148,193.0,108,74,18797.0,91,4580.0,145.0,Male,S2,S2,L1,M2,8.1
12,746359,40,31,83.0,108,138.0,33,191.0,191,102,7808.0,87,2546.0,432.0,Female,S2,S2,L2,M2,4.1
95,124734,-2,73,,45,107.0,158,149.0,143,47,18787.0, ,2884.0,561.0,Female,S2,S2,L2,M1,7.8
23,NAN,11,74,-20.0,75,93.0,60,185.0,141,66,25196.0,76,1037.0,61.0,Male,S1,S2,L2,M2,4.1
26,104918,12,51,-1.0,-133,102.0,96,183.0,109,41,11482.0,73,2333.0,597.0,Male,S2,S2,L2,M1,2.6
73,1277765,-48,23,76.0,4,147.0,95,125.0,85,119,7223.0,91,4975.0,,Male,S1,S1,L2,M2,6.6
38,799893,31,NAN,36.0,-94,-90.0,161,167.0,141,62,,74,3768.0,327.0,Female,S2,S2,L2,M2,5.7
50,681076,-41,18,26.0,-14,204.0,108,63.0,118,48,13014.0,27,2087.0,583.0,Female,S1,S1,L1, ,1.1
34,1704563,-46,92,78.0,103,,109,197.0,145,120,18619.0,71,,475.0,Male,S2,S2,L2,M2,8.5
72,406948,10,66,4.0,46,-64.0,122,121.0,191,67,5861.0,76,1270.0,,Male,S2,S2,L2,M1,7.9
91,1112826,1,96,88.0,12,-38.0,32,166.0,174,42,22949.0,67,1729.0,361.0,Female,S1,S2,L2,M1,6.4
59,1243472,11,49,73.0,-56,-103.0,106,137.0,199,46,34905.0,73,1630.0,502.0,Female, ,S1,L2,M2,6.9
14,411675,-29,81,59.0,168,158.0,48,173.0,170,65,819.0,89,227.0,301.0,Male,S2,S2,L2,M1,1.2
23,1326599,-8,72,-79.0,170,-117.0,74,96.0,87,125,29219.0,84,3933.0,500.0,Male,S1,S1,L1,M2,8.5
74,491741,-43,28,6.0,24,163.0,83,74.0,147,118,2911.0,47,4870.0,354.0,Female,S1,S1,L2,M2,3.1
36,1524909,-32,22,65.0,-164,-118.0,129,71.0,175,54,5220.0,22,160.0,552.0,Female,S1,S2,L1,M1,3.4
86,358178,48,52,-26.0,13,44.0,126,148.0,101,111,36006.0,89,452.0,,Male,S1,S2,L2,M1,4.9
NAN,628867,6,NAN,34.0,170,-105.0,153,74.0,85,66,9499.0, ,454.0,122.0,Male,S1,S2,L2,M1,5.4
22,1422751,-30,14,29.0,-12,-76.0,84,169.0,151,119,23016.0,33,3705.0,196.0,Male,S1,S2,L2,M2,8.1
39,1553724,40,55,-36.0,-91,156.0,174,179.0,81,97,17787.0,9,1393.0,413.0,Male,S2,S1,L1,M1,4.7
17,1759625,35,20,-26.0,-106,72.0,44,153.0,128,117,4416.0, ,2068.0,450.0,Male,S2,S2,L2,M1,5.2
82,1997035,30,4,-4.0,139,3.0,48,146.0,127,73,34513.0,67,4100.0,374.0,Male,S2,NAN,L2,M1,2.5
38,1777893,-27,28,4.0,70,-101.0,100,168.0,177,79,,70,3362.0,396.0,Male,S1,S1,L1,M2,4.1
38,1232119,3,93,-33.0, ,195.0,NAN,139.0,89,41,34758.0,46,1006.0,369.0,Female,S2,S1,L2,M1,4.8
82,777290,48,77,6.0,78,-99.0,166,200.0, ,77,25534.0,83,4058.0,137.0,Female,S2,S1,L1,M2,5.5
30,1136758,-49,64,-26.0,-156,-27.0,40,55.0,100,97,17480.0,24,4707.0,166.0,Male,S2,S2,L2,M1,4.2
45,808207,-2,39,-34.0,-102,70.0,73,101.0,166,63,16946.0,11,3964.0,102.0,Female,S1,S2,L1,M1,9.9
89,1917166,-47,42,-66.0,50,87.0,41,69.0,122,126,15355.0,90,4821.0,236.0,Male,S2,S2,L1,M1,2.1
60,1298051,-20,16,22.0,-81,-43.0,68,171.0,132,119,10423.0,92,3714.0,364.0,Male,S2,S2,L1,M2,9.2
26,1454967,36,89,-25.0,107,151.0,116,98.0,97,NAN,25944.0,37,3931.0,402.0,Female,S2,S1,L2,M1,1.1
93,NAN,40,9,-12.0,-138,188.0,179,59.0,100,92,32335.0,56,4444.0,,Male,S1,S2,L1,M2,0.4
63,322365,27,15,-59.0,99,-87.0,175,175.0,84,88,19202.0,41,3484.0,352.0,Female,S2,S1,L2,M2,8.3
19,339071,-15,98,62.0,-156,160.0,144,134.0, ,69,24166.0,96,3090.0,534.0,Female,S2,S1,L1,M1,8.0
83,787672,2,NAN,-38.0,-150,-42.0,152,128.0,136,49,2234.0,2,4580.0,64.0, ,S2,S2,L2,M2,6.6
19,1391036,30,28,12.0,73,-91.0,41,125.0,148,111,31354.0,5,874.0,319.0,Male,S2,S2,L1,M1,8.9
96,697562,45,56,-32.0, ,-104.0,62,102.0,163,122,10849.0,84,1152.0,483.0,Female,S2,S2,L2,M2,0.0
85,480023,1,81,-42.0,-86,184.0,46,54.0,133,127,15078.0,81,286.0,162.0,Female,S2,S1,L2,M1,0.9
77,1364784,-28,NAN,13.0,-113,-101.0,77,,183,63,18400.0,78,4947.0,210.0,Female,S2,S2,L1,M2,4.6
33,669457,-49,6,38.0, ,137.0,43,77.0,137,123,8911.0,88,,389.0,Female,S1,S1,L2,M1,0.8
66,487482,44,20,84.0,-157,152.0,117,189.0,125,128,38195.0,79,4869.0,464.0,Male,S2,S2,L2, ,7.1
44,1389247,17,79,,-64,,130,122.0,178,124,1115.0,41,1650.0,212.0,Female,S1,S1,L1,M1,5.8
35,941409,34,88,-75.0,-173,105.0,67,51.0,108,59,,81,404.0,430.0,Male,S2,S2,L1,M1,0.2
14,450940,-39,94,45.0,33,132.0,93,174.0,103,92,8214.0,72,688.0,166.0,Male,S1,S1,L2,M2,1.4
100,NAN,-4,6,-29.0,-31,-28.0,NAN,65.0,96,41,11668.0,75,877.0,232.0,Female,S1,S2,L2, ,5.2
21,49206,15,76,25.0,-151,-68.0,172,86.0,101,95,21672.0,60,270.0,300.0,Female,S2,S2,L1,M2,2.0
34,88002,-50,69,-36.0,-113,,141,173.0,118,70,11390.0,80,1039.0,167.0,Female,S1,S2,L2,M1,0.3
62,297332,2,12,-75.0,87,-38.0,59,134.0,196,115,38697.0,68,617.0,599.0, ,S2,S2,L2,M1,4.5
97,1071003,-40,81,-24.0,0,-7.0,110,159.0,181,111,19140.0,93,2450.0,364.0,Female,S2,S1,L2,M1,4.5
54,1360023,30,72,-85.0,-67,66.0,36,182.0,114,73,12009.0,44,3369.0,337.0,Male,S2,S2,L1,M1,0.5
39,505167,45,NAN,87.0,-29,-71.0,107,151.0,194,80,22293.0,19,236.0,,Male,S2,S2,L2,M2,9.8
